co_ibge_6d,termo,coef_excluido,delta,dfbeta,n_excluido
150620,estrato_interior_proximo_polo,0.13196346871692838,0.005361506525386139,0.12426235930845655,5
150680,estrato_interior_proximo_polo,0.1319089669415155,0.005307004749973254,0.1229991846452835,5
230690,estrato_interior_proximo_polo,0.13178552147789926,0.005183559286357026,0.12013811854711738,1
150580,estrato_interior_proximo_polo,0.12145690643759366,-0.00514505575394858,-0.11924573135032318,7
251620,estrato_metropolitano,0.2870072563526854,-0.007226542311247697,-0.1191741365509951,7
240050,estrato_interior_proximo_polo,0.1316016192738531,0.004999657082310871,0.11587586098040584,3
240800,estrato_metropolitano,0.2872640169272289,-0.006969781736704206,-0.11493985431010487,17
316860,estrato_interior_proximo_polo,0.12168284026897756,-0.004919121922564676,-0.11400931677124349,17
530010,estrato_capital,0.22210505420702653,-0.009673292188827703,-0.11245364647631789,2
280030,estrato_capital,0.2222083653472982,-0.009569981048556025,-0.11125263711793269,2
150470,estrato_capital,0.2412849471543949,0.009506600758540679,0.11051583060079015,4
313270,estrato_interior_proximo_polo,0.12187750927791594,-0.004724452913626304,-0.10949751953283968,3
316070,estrato_interior_proximo_polo,0.13131542746761776,0.004713465276075524,0.10924286167523542,3
150380,estrato_capital,0.22248658951608233,-0.009291756879771906,-0.10801823442370286,5
315400,estrato_metropolitano,0.2876920392910251,-0.006541759372908018,-0.10788126481696184,4
313600,estrato_metropolitano,0.28769203929102566,-0.006541759372907463,-0.10788126481695268,4
313700,estrato_metropolitano,0.2876920392910259,-0.006541759372907241,-0.10788126481694901,4
311430,estrato_metropolitano,0.287692039291026,-0.00654175937290713,-0.10788126481694718,4
317052,estrato_interior_proximo_polo,0.12208062391378571,-0.004521338277756526,-0.10478998001129841,2
310470,estrato_interior_proximo_polo,0.1220806239137859,-0.0045213382777563454,-0.10478998001129423,2
315240,estrato_interior_proximo_polo,0.12208062391378605,-0.004521338277756193,-0.1047899800112907,2
313980,estrato_interior_proximo_polo,0.12208062391378624,-0.0045213382777559985,-0.1047899800112862,2
231290,estrato_capital,0.24069818844965835,0.008919842053804111,0.10369466210289692,21
211130,estrato_capital,0.22288123969586812,-0.008897106699986113,-0.1034303597960033,1
210230,estrato_interior_proximo_polo,0.1310490092152657,0.004447047023723449,0.10306814931717852,1
210540,estrato_interior_proximo_polo,0.1310490092152657,0.004447047023723449,0.10306814931717852,1
521720,estrato_metropolitano,0.28823964159175053,-0.005994157072182593,-0.09885066227545075,4
150803,estrato_interior_proximo_polo,0.13085962185543848,0.0042576596638962405,0.09867876360182053,1
310730,estrato_metropolitano,0.2882665280283163,-0.005967270635616806,-0.09840727348387421,8
311940,estrato_metropolitano,0.30010923910516896,0.005875440441235835,0.09689288615265651,5
150630,estrato_interior_proximo_polo,0.13077386474192756,0.004171902550385326,0.0966911914144339,2
230690,estrato_metropolitano,0.30006918336770977,0.005835384703776647,0.0962323201834817,1
210090,estrato_interior_proximo_polo,0.1224693889760816,-0.004132573215460636,-0.09577966478947611,1
150240,estrato_interior_proximo_polo,0.13066083595052286,0.004058873758980619,0.09407155004624203,6
150620,estrato_metropolitano,0.29993114241467067,0.005697343750737549,0.09395586338317956,5
130340,estrato_interior_proximo_polo,0.12259092760633887,-0.0040110345852033685,-0.09296279291374926,9
210300,estrato_metropolitano,0.2997877817828696,0.005553983118936456,0.0915916788569631,10
240050,estrato_metropolitano,0.2997849874185815,0.005551188754648384,0.09154559652091676,3
310670,estrato_metropolitano,0.29972559609769045,0.005491797433757328,0.09056616416157137,4
221100,estrato_capital,0.22401616965934598,-0.007762176736508253,-0.0902366083412789,3
314760,estrato_metropolitano,0.29953857400554323,0.005304775341610113,0.0874819510776855,1
314220,estrato_metropolitano,0.2995385740055432,0.005304775341610057,0.08748195107768458,1
314400,estrato_metropolitano,0.299538574005543,0.005304775341609891,0.08748195107768184,1
210540,estrato_metropolitano,0.29951372720159813,0.005279928537665013,0.08707219821405106,1
210230,estrato_metropolitano,0.29951372720159813,0.005279928537665013,0.08707219821405106,1
316210,estrato_metropolitano,0.29950975959579507,0.005275960931861945,0.08700676775292729,9
314870,estrato_metropolitano,0.2995097595957948,0.005275960931861667,0.08700676775292271,9
150580,estrato_metropolitano,0.2890805775463319,-0.005153221117601248,-0.08498264463083868,7
330330,estrato_metropolitano,0.2890850801427405,-0.005148718521192641,-0.0849083915487806,2
230730,estrato_metropolitano,0.2993554465154255,0.0051216478514923836,0.08446196453729489,2
231290,estrato_interior_proximo_polo,0.12309398798246499,-0.0035079742090772525,-0.08130348243523994,21
